nr,x1,y1,h
14xA01x1,6010718.65,6568802.52,-2.19
14xA01x2,6010716.55,6568802.43,-2.12
14xA01x3,6010714.42,6568802.32,-2.03
14xA01x4,6010712.34,6568802.16,-2.02
14xA02x1,6010718.59,6568804.54,-2.16
14xA02x2,6010716.50,6568804.46,-2.17
14xA02x3,6010714.42,6568804.40,-2.09
14xA02x4,6010712.33,6568804.42,-2.00
14xA03x1,6010718.66,6568806.58,-2.26
14xA03x2,6010716.54,6568806.64,-2.17
14xA03x3,6010714.49,6568806.61,-2.05
14xA03x4,6010712.30,6568806.43,-1.97
14xA04x1,6010718.55,6568808.66,-2.21
14xA04x2,6010716.59,6568808.71,-2.17
14xA04x3,6010714.30,6568808.63,-2.09
14xA04x4,6010712.22,6568808.57,-2.01
14xA05x1,6010718.60,6568810.77,-2.31
14xA05x2,6010716.39,6568810.74,-2.24
14xA05x3,6010714.36,6568810.72,-2.10
14xA05x4,6010712.17,6568810.73,-2.01
14xA06x1,6010718.45,6568813.02,-2.24
14xA06x2,6010716.34,6568812.83,-2.20
14xA06x3,6010714.41,6568812.89,-2.11
14xA06x4,6010712.18,6568812.73,-2.05
14xA07x1,6010718.41,6568814.98,-2.27
14xA07x2,6010716.29,6568814.97,-2.28
14xA07x3,6010714.36,6568814.95,-2.13
14xA07x4,6010712.08,6568814.92,-2.12
14xA08x1,6010718.44,6568817.06,-2.35
14xA08x2,6010716.24,6568817.07,-2.28
14xA08x3,6010714.32,6568817.09,-2.15
14xA08x4,6010712.12,6568816.98,-2.06
14xA09x1,6010718.21,6568819.38,-2.36
14xA09x2,6010716.21,6568819.40,-2.25
14xA09x3,6010714.21,6568819.43,-2.18
14xA09x4,6010712.22,6568819.45,-2.09
14xA10x1,6010718.33,6568821.77,-2.29
14xA10x2,6010716.22,6568821.85,-2.19
14xA10x3,6010714.23,6568821.86,-2.12
14xA10x4,6010712.35,6568821.90,-2.14
14xA11x1,6010718.32,6568824.22,-2.29
14xA11x2,6010716.27,6568824.25,-2.26
14xA11x3,6010714.31,6568824.33,-2.14
14xA11x4,6010712.31,6568824.35,-2.06
14xA12x1,6010718.46,6568826.53,-2.24
14xA12x2,6010716.39,6568826.65,-2.22
14xA12x3,6010714.37,6568826.67,-2.17
14xA12x4,6010712.42,6568826.83,-2.06
14xA13x1,6010718.56,6568828.92,-2.27
14xA13x2,6010716.59,6568829.05,-2.22
14xA13x3,6010714.44,6568829.17,-2.16
14xA13x4,6010712.47,6568829.26,-2.14
14xA14x1,6010718.52,6568831.31,-2.26
14xA14x2,6010716.65,6568831.39,-2.25
14xA14x3,6010714.49,6568831.50,-2.17
14xA14x4,6010712.55,6568831.51,-2.12
14xA15x1,6010718.70,6568833.76,-2.29
14xA15x2,6010716.68,6568833.74,-2.15
14xA15x3,6010714.67,6568833.99,-2.17
14xA15x4,6010712.74,6568834.06,-2.06
14xA16x1,6010718.76,6568836.15,-2.30
14xA16x2,6010716.71,6568836.24,-2.17
14xA16x3,6010714.71,6568836.25,-2.17
14xA16x4,6010712.73,6568836.41,-2.05
14xA17x1,6010718.85,6568838.52,-2.21
14xA17x2,6010716.83,6568838.62,-2.24
14xA17x3,6010714.84,6568838.70,-2.11
14xA17x4,6010712.82,6568838.70,-2.11
14xA18x1,6010718.89,6568840.89,-2.25
14xA18x2,6010716.92,6568840.99,-2.16
14xA18x3,6010714.91,6568841.19,-2.07
14xA18x4,6010712.99,6568841.18,-2.05
14xA19x1,6010719.09,6568843.31,-2.25
14xA19x2,6010716.99,6568843.36,-2.22
14xA19x3,6010715.06,6568843.50,-2.06
14xA19x4,6010713.05,6568843.51,-2.07
14xA20x1,6010719.07,6568845.82,-2.28
14xA20x2,6010717.20,6568845.78,-2.13
14xA20x3,6010715.21,6568845.89,-2.11
14xA20x4,6010713.10,6568846.02,-2.00
14xA21x1,6010719.18,6568848.08,-2.25
14xA21x2,6010717.13,6568848.22,-2.14
14xA21x3,6010715.19,6568848.22,-2.11
14xA21x4,6010713.25,6568848.30,-1.99
14xA22x1,6010719.35,6568850.47,-2.20
14xA22x2,6010717.26,6568850.55,-2.15
14xA22x3,6010715.25,6568850.77,-2.05
14xA22x4,6010713.24,6568850.75,-2.06
14xA23x1,6010719.46,6568852.89,-2.24
14xA23x2,6010717.34,6568852.97,-2.20
14xA23x3,6010715.34,6568853.04,-2.13
14xA23x4,6010713.52,6568853.17,-2.04
14xA24x1,6010719.48,6568855.26,-2.16
14xA24x2,6010717.47,6568855.37,-2.16
14xA24x3,6010715.47,6568855.41,-2.10
14xA24x4,6010713.48,6568855.54,-2.02
14xA25x1,6010719.56,6568857.69,-2.21
14xA25x2,6010717.57,6568857.80,-2.18
14xA25x3,6010715.55,6568857.83,-2.07
14xA25x4,6010713.58,6568858.00,-2.05
14xA26x1,6010719.75,6568860.05,-2.21
14xA26x2,6010717.61,6568860.19,-2.10
14xA26x3,6010715.63,6568860.24,-2.07
14xA26x4,6010713.79,6568860.38,-2.04
14xA27x1,6010719.78,6568862.45,-2.19
14xA27x2,6010717.85,6568862.54,-2.08
14xA27x3,6010715.88,6568862.66,-2.04
14xA27x4,6010713.74,6568862.71,-2.04
14xA28x1,6010720.88,6568892.03,-1.88
14xA28x2,6010718.88,6568892.15,-1.83
14xA28x3,6010716.85,6568892.24,-1.81
14xA28x4,6010714.86,6568892.29,-1.81
14xA29x1,6010720.94,6568894.24,-1.97
14xA29x2,6010718.96,6568894.27,-1.87
14xA29x3,6010716.98,6568894.34,-1.79
14xA29x4,6010714.99,6568894.48,-1.73
14xA30x1,6010721.14,6568896.33,-1.92
14xA30x2,6010719.12,6568896.50,-1.87
14xA30x3,6010717.17,6568896.59,-1.84
14xA30x4,6010715.09,6568896.54,-1.78
14xA31x1,6010721.16,6568898.46,-1.88
14xA31x2,6010719.30,6568898.63,-1.84
14xA31x3,6010717.11,6568898.67,-1.77
14xA31x4,6010715.14,6568898.72,-1.80
14xA32x1,6010721.34,6568900.62,-1.93
14xA32x2,6010719.23,6568900.70,-1.83
14xA32x3,6010717.30,6568900.80,-1.79
14xA32x4,6010715.20,6568900.93,-1.74
14xA33x1,6010721.31,6568902.91,-1.97
14xA33x2,6010719.30,6568902.85,-1.83
14xA33x3,6010717.47,6568903.02,-1.81
14xA33x4,6010715.34,6568902.98,-1.79
14xA34x1,6010721.39,6568904.92,-1.90
14xA34x2,6010719.37,6568905.03,-1.83
14xA34x3,6010717.55,6568905.13,-1.80
14xA34x4,6010715.37,6568905.22,-1.70
14xA35x1,6010721.56,6568907.30,-1.86
14xA35x2,6010719.46,6568907.43,-1.88
14xA35x3,6010717.64,6568907.56,-1.74
