nr,x,y,h
14xA01x1,6010718.72,6568802.59,-2.17
14xA01x2,6010716.62,6568802.46,-2.10
14xA01x3,6010714.52,6568802.33,-2.04
14xA01x4,6010712.43,6568802.20,-1.97
14xA02x1,6010718.68,6568804.55,-2.19
14xA02x2,6010716.58,6568804.51,-2.12
14xA02x3,6010714.48,6568804.47,-2.06
14xA02x4,6010712.38,6568804.43,-1.99
14xA03x1,6010718.64,6568806.65,-2.21
14xA03x2,6010716.54,6568806.61,-2.14
14xA03x3,6010714.44,6568806.57,-2.08
14xA03x4,6010712.34,6568806.53,-2.01
14xA04x1,6010718.59,6568808.75,-2.24
14xA04x2,6010716.49,6568808.71,-2.17
14xA04x3,6010714.39,6568808.67,-2.10
14xA04x4,6010712.30,6568808.62,-2.04
14xA05x1,6010718.55,6568810.85,-2.26
14xA05x2,6010716.45,6568810.81,-2.19
14xA05x3,6010714.35,6568810.77,-2.12
14xA05x4,6010712.25,6568810.72,-2.05
14xA06x1,6010718.51,6568812.95,-2.28
14xA06x2,6010716.41,6568812.91,-2.21
14xA06x3,6010714.31,6568812.87,-2.15
14xA06x4,6010712.21,6568812.82,-2.08
14xA07x1,6010718.47,6568815.05,-2.31
14xA07x2,6010716.37,6568815.01,-2.24
14xA07x3,6010714.27,6568814.96,-2.17
14xA07x4,6010712.17,6568814.92,-2.10
14xA08x1,6010718.43,6568817.15,-2.33
14xA08x2,6010716.33,6568817.11,-2.26
14xA08x3,6010714.23,6568817.06,-2.18
14xA08x4,6010712.13,6568817.02,-2.11
14xA09x1,6010718.28,6568819.45,-2.32
14xA09x2,6010716.28,6568819.47,-2.25
14xA09x3,6010714.28,6568819.50,-2.18
14xA09x4,6010712.28,6568819.52,-2.11
14xA10x1,6010718.31,6568821.83,-2.31
14xA10x2,6010716.31,6568821.87,-2.24
14xA10x3,6010714.31,6568821.90,-2.17
14xA10x4,6010712.31,6568821.94,-2.10
14xA11x1,6010718.36,6568824.21,-2.30
14xA11x2,6010716.36,6568824.26,-2.24
14xA11x3,6010714.36,6568824.31,-2.17
14xA11x4,6010712.36,6568824.35,-2.10
